Tweet_count,Username,Text,Created At,Retweets,Likes
18,Manuel León🔺🏳️‍🌈🏳️‍⚧️,"La sangre es como los ríos que van tejiendo memoria
Y así se tejió la historia de la sangre de los míos;
Del cerro hasta los bajíos se juntaron las corrientes
Entre lluvias y crecientes
Entre montañas y llanos se reunieron mis hermanos, mis padres y mis parientes https://t.co/7RWZRSiSoY",Sat Sep 14 19:24:33 +0000 2024,0,4
19,sabrina 🦋,Paseando por av corrientes 🤠 https://t.co/JKCfkBazom,Sat Sep 14 05:05:42 +0000 2024,0,6
20,RayDCuba🇨🇺,"De no existir el #BloqueoGenocida, el PIB de #Cuba a precios corrientes pudo haber crecido alrededor de un 8% en 2023.

#TumbaElBloqueo https://t.co/FAWb1leRhB",Fri Sep 13 01:47:30 +0000 2024,5,4
21,Cristian C.Z,"#Miércoles 📡🛰️🔮👉⛈️ Situación prevista de #Lluvias desde sept a dic 2024 #pronósticos #Climático #Meteorologico #BahiaBlanca #MardelPlata #BuenosAires #LaPampa #Córdoba #SantaFé #RioNegro #EntreRios #Corrientes #SanLuis #Mendoza #Chaco #Argentina #Uruguay centro, norte y sur https://t.co/3GGnFqiGei",Wed Sep 11 14:31:34 +0000 2024,2,6
22,Frenta Nila Montes 🤡,"Alguien entiende por qué a Crista Montes su pareja la abandonó?

Por qué sus hijas Gala Y la Boba Montes son 2 escuinclas mal educadas que les hizo falta cariño y un Papá, por eso navegan en el falso feminismo siendo tan corrientes y vulgares.

#GalaMientes 🚫
#ArathNarco 🦜 https://t.co/NdyLdqknYX",Thu Sep 19 16:06:03 +0000 2024,305,1872
23,Cristian C.Z,#Sábado 📡🛰️🔮👉⛈️ #Pronósticos de #Lluvias sept a dic 2024 #Climático #Meteorologico en #BahiaBlanca #MardelPlata #BuenosAires #LaPampa #Córdoba #SantaFé #RioNegro #EntreRios #Corrientes #SanLuis #Mendoza #Chaco #Argentina #Uruguay #Brasil #Paraguay zonas del centro https://t.co/t3wWsNd3ao,Sat Sep 14 12:33:07 +0000 2024,4,5
24,Nacho,"Se que ya es muy tarde peeeero estan para mostrar los 32 escudos de la Liga Correntina?

Empezamos con los 4 nombres fuertes: Boca Unidos, Mandiyu, Ferroviario (ya esta arreglado la ciudad) y Huracan de Corrientes https://t.co/5BJH2x1dQW",Sat Sep 14 04:05:50 +0000 2024,0,5
25,𒉭,SIEMPRE UNO DE ESTOS CARROS FEOS CUADRADOS LLENOS DE STICKERS CORRIENTES IMPRUDENTES CON LA MÚSICA SOCADA QUE NO FUNCIONAN SUS LUCES Y EL ESCAPE SACANDO HUMO NEGRO Y SIN BOCINA NI PIDE VÍAS INICIATIVA DE LEY PARA PROHIBIR SU CIRCULACIÓN Y REVOCAR LICENCIA DE QUIENES LO CONDUCEN https://t.co/u6NMkxAVQj,Tue Sep 17 14:14:57 +0000 2024,0,12
26,Yuanero Solitario,"Apalacados para gastos corrientes. 

Hermoso rebote. 

Termina mal. https://t.co/BgOq461uZd",Wed Sep 11 04:57:11 +0000 2024,0,10
27,Cristian C.Z,#Jueves 📡🛰️🔮👉⛈️ #Pronósticos de #Heladas #Meteorologico en #BahiaBlanca #MardelPlata #BuenosAires #LaPampa #Córdoba #SantaFé #RioNegro #EntreRios #Corrientes #SanLuis #Mendoza #Chaco #Argentina #Uruguay #Brasil #Paraguay zona centro https://t.co/cXp1PFMdVY,Thu Sep 12 12:33:48 +0000 2024,1,4
28,Banda de Música de Estepa,"Mañana es el día.
🎶 ¡Mañana #SuenaBaME en Estepa!

📍Recorrido: Plaza del Carmen, Cristo de la Sangre, Antonio Álvarez, Corrientes, Plaza de San Sebastián, Plaza Vieja, Hornillos, Cuesta, Cardenal Spínola, Silencio, Castillejos e Iglesia de Nuestra Señora de la Asunción. https://t.co/hsniwBuypQ",Sat Sep 14 08:45:16 +0000 2024,2,2
29,Alejandro Prince,"Panel de casos en el encuentro organizado por @CIPPEC: Ciudades de Mendoza y Corrientes y Pcias. de Río Negro y PBA con @SandraDAgosti14
@recia presente en esta interesante actividad con @lucaslanza Dir. Gral y yo. C/@carotkachuk @eregatky @lucasjolias @marcosmalamud @cesargazzo https://t.co/mencClRLZx",Wed Sep 18 15:37:49 +0000 2024,5,14
30,Tatu AACC,"En la información brindada hoy por nuestro Canciller @BrunoRguezP a la prensa acredita y al cuerpo diplomático dijó:
De no existir el Bloqueo el PIB de #Cuba a precios corrientes pudo haber crecido alrededor de un 8 % en el 2023. EEUU #TumbaElBloqueo https://t.co/N6X8rckVJM",Thu Sep 12 17:48:28 +0000 2024,8,8
31,𝑵𝒂𝒏𝒊 🤍,Corrientes si no existieras te inventaria https://t.co/eNfbD3pR9R,Wed Sep 11 01:07:29 +0000 2024,1,10
32,Jamaisney 🇮🇲,"a esto se le denomina ""auto estima superlativa"" y saben que? Uds. tienen la culpa por engrandecer churpias marranas, verduleras, corrientes y vulgares. https://t.co/E7derRws2M",Fri Sep 13 23:35:21 +0000 2024,2,10
